PH,StartCount,VEmax,R0,VEest,CILow,CIUp,SS
0.15,26,0.5,0.37,60.87996174,31.15384615,82.61981074,440.0071822
0.15,26,0.5,0.5,60.1369863,18.80636071,77.83918129,266.3770118
0.15,26,0.5,0.61,62.75684932,23.63829787,82.375,142.8719074
0.15,26,0.5,0.7,63.15789474,31.60625,83.3374567,109.7928062
0.15,26,0.5,0.8,61.58500878,32.84037559,81.51126225,86.30507224
0.15,26,0.6,0.37,68.42105263,41.82029178,86.34214744,343.6385333
0.15,26,0.6,0.5,73.4591195,42.71014493,90.66012002,161.0695714
0.15,26,0.6,0.61,70.46004843,26.17142857,88.80106851,105.4367575
0.15,26,0.6,0.7,73.33333333,48.23030303,89.8362069,78.21053508
0.15,26,0.6,0.8,69.87032799,50,87.52338877,60.44326824
0.15,26,0.7,0.37,78.97727273,36.36363636,94.86111111,244.2221736
0.15,26,0.7,0.5,82.68365817,50,100,124.1834369
0.15,26,0.7,0.61,84.32748538,50,96.74242424,81.16404537
0.15,26,0.7,0.7,80.70719603,55.55555556,93.96808511,60.51170833
0.15,26,0.7,0.8,83.33333333,51.4516129,97.02308362,47.56006578
0.15,26,0.8,0.37,86.51515152,47.08333333,100,188.052658
0.15,26,0.8,0.5,87.5,61.53846154,100,101.381799
0.15,26,0.8,0.61,88.88888889,67.38636364,100,69.23120756
0.15,26,0.8,0.7,88.37209302,66.66666667,100,49.98923777
0.15,26,0.8,0.8,90,60.30214425,100,39.04229723
0.15,26,0.9,0.37,93.33333333,78.83333333,100,160.1222458
0.15,26,0.9,0.5,95.45454545,80,100,91.19920565
0.15,26,0.9,0.61,95.45454545,63.16666667,100,57.31744113
0.15,26,0.9,0.7,95.23809524,76.94444444,100,43.34637242
0.15,26,0.9,0.8,96.15384615,74.03846154,100,33.95774852
0.2,6,0.5,0.37,19.75890841,7.753436232,31.40961857,1325.389817
0.2,6,0.5,0.5,26.85648114,11.90967742,40.30708927,621.1944102
0.2,6,0.5,0.61,26.48766407,10.53032744,40.47744891,460.7872679
0.2,6,0.5,0.7,29.52535469,13.53955084,43.01024971,352.3418616
0.2,6,0.5,0.8,33.09200544,10.36957255,48.23274964,184.9902888
0.2,6,0.6,0.37,24.41988285,9.087755102,37.22638934,930.3674928
0.2,6,0.6,0.5,30.565649,13.08867417,43.18870659,444.6940792
0.2,6,0.6,0.61,34.45949157,14.79935762,47.1715726,345.4172743
0.2,6,0.6,0.7,35.45149379,19.33699366,51.16879235,244.6834779
0.2,6,0.6,0.8,40.99259031,21.35571561,54.95310245,166.0774554
0.2,6,0.7,0.37,28.80455987,11.79812207,41.63944981,604.8099181
0.2,6,0.7,0.5,34.35869761,18.81864424,49.20836823,295.0209761
0.2,6,0.7,0.61,36.81775801,20.4158215,56.37225056,174.9137205
0.2,6,0.7,0.7,41.27784784,21.76163028,57.040215,151.1426494
0.2,6,0.7,0.8,44.38717068,21.61969161,58.09717949,124.2773289
0.2,6,0.8,0.37,31.73291492,13.44472362,46.77019315,573.2192524
0.2,6,0.8,0.5,39.66885605,17.48809524,51.46650469,283.1810823
0.2,6,0.8,0.61,43.37679516,16.08685533,59.24460529,174.8353166
0.2,6,0.8,0.7,46.98029243,21.97916667,64.81152762,107.8837727
0.2,6,0.8,0.8,50.48558897,23.67256637,70.06928043,88.3806826
0.2,6,0.9,0.37,36.18045816,15.41971223,51.96228502,404.9829809
0.2,6,0.9,0.5,41.82447741,20.20410648,58.39821429,229.8801502
0.2,6,0.9,0.61,49.61353231,26.54597701,64.575,127.4047387
0.2,6,0.9,0.7,50,19.46636925,66.0944227,92.88819413
0.2,6,0.9,0.8,53.64721485,26.16854251,70.26041667,76.32575539
0.2,11,0.5,0.37,34.86412109,6.195717403,51.35,544.2712635
0.2,11,0.5,0.5,39.16749012,19.24673988,57.28422143,361.7782253
0.2,11,0.5,0.61,42.60992908,19.36288305,61.185917,220.8954339
0.2,11,0.5,0.7,47.01778386,14.60699023,63.24440521,170.7822972
0.2,11,0.5,0.8,48.2033516,24.23724083,65.65738635,121.3854186
0.2,11,0.6,0.37,38.92056661,14.48808376,58.37315007,489.7259695
0.2,11,0.6,0.5,46.86579378,16.17788462,63.80681818,232.5326012
0.2,11,0.6,0.61,48.80944882,26.03635746,68.95612158,141.8410613
